name,Street,City,latitude,longitude,www,
KunstHausWien - Friedensreich Hundertwasser,Untere Weißgerberstraße 13, 1030 Wien,48.2018,16.38991,kunsthauswien.com,
Kunsthistorisches Museum,Maria-Theresien-Platz, 1010 Wien,48.19352,16.34849,khm.at,
Leopold Museum,Museumsplatz 1, 1070 Wien,48.20695,16.34952,leopoldmuseum.org,
Palais Liechtenstein,Fürstengasse 1, 1090 Wien,48.23638,16.37307,palaisliechtenstein.com,
MAK - Österreichisches Museum für angewandte Kunst,Stubenring 5, 1010 Wien,48.22081,16.39619,mak.at,
Mozarthaus Vienna 'Figarohaus',Domgasse 5,,48.20613,16.36338,mozarthausvienna.at,
MUMOK Museum Moderner Kunst Stiftung Ludwig Wien,Museumsplatz 1, 1070 Wien,48.2119,16.37115,mumok.at,
MuseumsQuartier Wien,Museumsplatz 1, 1070 Wien,48.18801,16.35749,mqw.at,
Naturhistorisches Museum,Burgring 7, 1010 Wien,48.2061,16.35475,nhm-wien.ac.at,
Oberes Belvedere,Prinz Eugen-Straße 27, 1030 Wien,48.20524,16.38821,belvedere.at,
Österreichische Nationalbibliothek,,1015 Wien,48.21983,16.36533,onb.ac.at,
Musikverein,Musikvereinspl. 1, 1010 Wien,48.21001,16.37473,musikverein.at,
Schatzkammer,Hofburg,1010 Wien,48.20392,16.36928,kaiserliche-schatzkammer.at,
Secession,Friedrichstraße 12, 1010 Wien,48.19972,16.37268,secession.at,
Sigmund Freud Museum,Berggasse 19, 1090 Wien,48.21695,16.37201,freud-museum.at,
Sisi Museum,Michaelerkuppel, 1010 Wien,48.1954,16.36325,hofburg-wien.at,
Technisches Museum,Mariahilfer Str. 212, 1140 Wien,48.1967,16.30414,technischesmuseum.at,
Votivkirche,Rooseveltplatz, 1090 Wien,48.20327,16.35936,votivkirche.at,
Wien Museum Karlsplatz,Karlsplatz 8, 1040 Wien,48.20546,16.35975,wienmuseum.at,
Planetarium,Oswald-Thomas-Platz 1, 1020 Wien,48.22546,16.40129
Rathaus,,1080 Wien,48.22308,16.3425,,
Riesenrad,Riesenradplatz 1, 1020 Wien,48.20575,16.39946,wienerriesenrad.com,
Schloss Schönbrunn,Schönbrunner Schloßstraße 47, 1130 Wien,48.1896,16.31763,schoenbrunn.at,
Schmetterlinghaus,Josefsplatz, 1010 Wien,48.20108,16.37653,schmetterlinghaus.at,
Schönbrunn - Irrgarten,,,48.20034,16.30772,,
Spanische Hofreitschule,Michaelerplatz 1, 1010 Wien,48.2084,16.3573,srs.at,
Stephansdom,Stephansplatz 3, 1010 Wien,48.19101,16.3685,stephanskirche.at,
Synagoge,Seitenstettengasse 4, 1010 Wien,48.22599,16.36297,,
Tiergarten Schönbrunn,Maxingstraße 13b, 1130 Wien,48.1867,16.28968,zoovienna.at,
UNO-City,Wagramer Str. 5, 1400 Wien,48.23507,16.42207,unvienna.org,
Urania Sternwarte,Uraniastraße 1, 1010 Wien,48.211526,16.384509,planetarium-wien.at,
Wiener Staatsoper,Opernring 2, 1010 Wien,48.19955,16.36965,wiener-staatsoper.at,
Zentralfriedhof (Ehrengräber),Simmeringer Hauptstraße 234, 1110 Wien,48.19841,16.37127,friedhoefewien.at,
Albertina,Albertinaplatz 1, 1010 Wien,48.21116,16.37498,albertina.at,
Haus der Musik,,,48.22249,16.3551,,
Haus des Meeres,Fritz-Grünbaum-Platz 1, 1060 Wien,48.21304,16.34822,haus-des-meeres.at,
